epoch,train_loss,val_loss
1,0.07673003524541855,0.03612611070275307
2,0.025049593299627304,0.03870407119393349
3,0.02311713807284832,0.025270262733101845
4,0.022096987813711166,0.02422756887972355
5,0.02153821289539337,0.026690097525715828
6,0.02102581225335598,0.024963971227407455
7,0.020578298717737198,0.023802651092410088
8,0.020235270261764526,0.022140055894851685
9,0.019987031817436218,0.022621819749474525
10,0.01966538280248642,0.02625390887260437
11,0.01946478709578514,0.021405041217803955
12,0.019209520891308784,0.038832709193229675
13,0.018932795152068138,0.026091203093528748
14,0.01870611123740673,0.020875973626971245
15,0.018480101600289345,0.025897813960909843
16,0.018298352137207985,0.03661247342824936
17,0.018003571778535843,0.04216965287923813
18,0.0177107285708189,0.0217500701546669
19,0.01754968799650669,0.02954002469778061
20,0.017274849116802216,0.02196626365184784
21,0.017031380906701088,0.021160554140806198
22,0.01680467464029789,0.022049378603696823
23,0.016481170430779457,0.02134939841926098
24,0.016294505447149277,0.027269715443253517
25,0.01598464697599411,0.02412133477628231
26,0.01578477770090103,0.022974809631705284
27,0.01546240970492363,0.0352427214384079
28,0.015303249470889568,0.03196655958890915
29,0.015068239532411098,0.022996122017502785
30,0.014798233285546303,0.02679278329014778
31,0.014611435122787952,0.023677820339798927
32,0.014418719336390495,0.03195833042263985
33,0.014278593473136425,0.029416022822260857
34,0.014141951687633991,0.02466243878006935
35,0.013987349346280098,0.02309253439307213
36,0.013683765195310116,0.03305542469024658
37,0.013593663461506367,0.026394404470920563
38,0.01336395088583231,0.023832183331251144
39,0.013289702124893665,0.0251762717962265
40,0.013203931041061878,0.024527132511138916
41,0.012951395474374294,0.027764299884438515
42,0.012829531915485859,0.02610030584037304
43,0.012787051498889923,0.024945028126239777
44,0.012811866588890553,0.03479825332760811
45,0.012754745781421661,0.02522646076977253
46,0.012548177503049374,0.03159814327955246
47,0.012487014755606651,0.03948686644434929
48,0.01240774616599083,0.02639632672071457
49,0.012291575782001019,0.026262523606419563
50,0.012183227576315403,0.026890872046351433
